1 128 1 0.004924 0.000363 0.000376 2 0.011383 0.001663 0.000445 3 0.020918 0.005439 0.000546 4 0.029904 0.004014 0.000609  28669 61434 106486 163825
2 128 1 0.010068 0.000748 0.000473 2 0.038411 0.004232 0.000706 3 0.108712 0.021764 0.001103 4 0.225497 0.027171 0.001485 57339 208881 552925 1208250
3 128 1 0.016414 0.001213 0.000565 2 0.096909 0.009673 0.001055 3 0.383174 0.067504 0.001872 4 1.106500 0.125166 0.003668  94201 524260 1982380 5877550
4 128 1 0.024586 0.001783 0.000659 2 0.204951 0.021518 0.001528 3 1.100820 0.171084 0.003278 4 4.178070 0.461847 0.008970  139255 1105875 5693275 22097425
5 128 1 0.034111 0.002506 0.000724 2 0.385553 0.039393 0.001823 3 2.661290 0.391920 0.005628 4 12.948600 1.405220 0.022417  192501 2076606 14016226 69127191
6 128 1 0.045057 0.003316 0.000829 2 0.666270 0.065462 0.002585 3 5.805250 0.788083 0.010168 4 35.054200 3.705070 0.054064 253939 3583909 30764601 188086500 
7 128 1 0.058554 0.004228 0.000950 2 1.069070 0.102427 0.003172 3 11.503600 1.475630 0.016551 4 85.118800 8.876620 0.119854  323569 5799816 61767000 458585100
8 128 1 0.000000 0.005280 0.001011 2 0.000000 0.155124 0.003755 3 0.000000 2.618690 0.027630 4 0.000000 19.316500 0.258021   401391 8920935 115481655 1023462675 
9 128 1 0.000000 0.006535 0.001059 2 0.000000 0.228750 0.004791 3 0.000000 4.447690 0.044397 4 0.000000 39.690800 0.519798   487405 13168450 203692750 2123932525
10 128 1 0.000000 0.007841 0.001158 2 0.000000 0.322648 0.006674 3 0.000000 7.224100 0.072282 4 0.000000 76.031900 1.055390  581611 18788121 342288661 4147709566
11 128 1 0.000000 0.009194 0.001250 2 0.000000 0.446887 0.007653 3 0.000000 11.270400 0.107099 4 0.000000 140.029000 2.176080   684009 26050284 552122116 7692989850
12 128 1 0.000000 0.010802 0.001426 2 0.000000 0.598051 0.009547 3 0.000000 17.100200 0.162804 4 0.000000 245.767000 4.293840   794599 35249851 859952275 13651435525
13 128 1 0.000000 0.001935 0.001482 2 0.000000 0.073206 0.011759 3 0.000000 2.060320 0.239222 4 0.000000 33.580500 8.169430    913381 46698119 1299460539 23313597684
14 128 1 0.000000 0.001922 0.001570 2 0.000000 0.081480 0.014467 3 0.000000 2.985130 0.346194 4 0.000000 0.000000 0.000000  1040355 60763725 1912397425 38500561800  
